	7SK	ADAMTS9-AS2	AFAP1-AS1	ATP6V1G2-DDX39B	ATXN8OS	BACE1-AS	BANCR	BC040587	BCAR4	BCYRN1	BDNF-AS	BOK-AS1	BPESC1	C1QTNF9B-AS1	CASC2	CBR3-AS1	CCAT1	CCAT2	CCDC26	CDKN2B-AS1	CECR3	CECR9	CHL1-AS2	CRNDE	DANCR	DAOA-AS1	DAPK1	DGCR5	DISC2	DLEU1	DLEU2	DLX6-AS1	DMPK	DNM3OS	DSCAM-AS1	EPB41L4A-AS1	ESRG	FOXCUT	GAS5	GHET1	GNAS-AS1	H19	HAR1A	HAR1B	HCP5	HIF1A-AS1	HIF1A-AS2	HNF1A-AS1	HOTAIR	HOTTIP	HULC	HYMAI	IFNG-AS1	IGF2-AS	KCNQ1DN	KCNQ1OT1	LINC00032	LINC00152	LINC00162	LINC00261	LINC00271	LSINCT5	MALAT1	MAP3K14	MEG3	MESTIT1	MIAT	MINA	MIR100HG	MIR155HG	MIR17HG	MIR31HG	MKRN3-AS1	MNX1-AS1	MYCNOS	NAMA	NEAT1	NPTN-IT1	NRON	PANDAR	PCA3	PCAT1	PCGEM1	PDZRN3-AS1	PINK1-AS	PISRT1	PPP3CB	PRINS	PSORS1C3	PTENP1	PVT1	RMST	RPL34-AS1	RRP1B	SCAANT1	SNHG11	SNHG16	SNHG3	SNHG4	SNHG5	SOX2-OT	SPRY4-IT1	SRA1	TCL6	TDRG1	TERC	TRAF3IP2-AS1	TUG1	TUSC7	UCA1	WRAP53	WT1-AS	XIST	ZFAS1	ZFAT-AS1
MALAT1	0.417647059	0.118382353	0.114705882	0.5	0.564705882	0.023529412	0.019852941	0.5	0.358823529	0.357352941	0.673529412	0.041176471	0.5	0.310294118	0.425	0.613235294	0.430147059	0.5	0.047794118	0.240441176	0.305882353	0.5	0.358823529	0.280882353	0.025735294	0.5	0.003676471	0.370588235	0.518382353	0.152205882	0.195588235	0.361764706	0.175735294	0.286764706	0.452941176	0.055882353	0.655147059	0.731617647	0.166176471	0.508088235	0.517647059	0.067647059	0.281617647	0.057352941	0.233823529	0.366911765	0.504411765	0.329411765	0.116911765	0.186029412	0.325	0.5	0.225	0.157352941	0.405882353	0.658088235	0.5	0.138235294	0.049264706	0.064705882	0.474264706	0.547794118	1	0.273529412	0.058823529	0.451470588	0.2	0.078676471	0.327205882	0.202205882	0.4375	0.430882353	0.466911765	0.305882353	0.511029412	0.252941176	0.563970588	0.413970588	0.327941176	0.405882353	0.452205882	0.379411765	0.357352941	0.308823529	0.365441176	0.5	0.126470588	0.363970588	0.500735294	0.155147059	0.143382353	0.261764706	0.520588235	0.195588235	0.141911765	0.313235294	0.019117647	0.283823529	0.633088235	0.197058824	0.474264706	0.413235294	0.024264706	0.160294118	0.288970588	0.5	0.372794118	0.002941176	0.365441176	0.119117647	0.036029412	0.033823529	0.471323529	0.2	0.5
MAP3K14	0.1625	0.219117647	0.366176471	0.511764706	0.329411765	0.416176471	0.05	0.511764706	0.547058824	0.070588235	0.161764706	0.114705882	0.511764706	0.176470588	0.108088235	0.033823529	0.317647059	0.511764706	0.399264706	0.175735294	0.470588235	0.511764706	0.270588235	0.106617647	0.072058824	0.511764706	0.095588235	0.219852941	0.327205882	0.244852941	0.399264706	0.269117647	0.247058824	0.188970588	0.241176471	0.390441176	0.418382353	0.193382353	0.475735294	0.131617647	0.314705882	0.038235294	0.294852941	0.080882353	0.385294118	0.058088235	0.175735294	0.116911765	0.244117647	0.374264706	0.350735294	0.511764706	0.294117647	0.008088235	0.138235294	0.144117647	0.067647059	0.291176471	0.110294118	0.039705882	0.068382353	0.197058824	0.273529412	1	0.241911765	0.020588235	0.35	0.580147059	0.021323529	0.457352941	0.311764706	0.072058824	0.1375	0.470588235	0.178676471	0.029411765	0.020588235	0.058088235	0.186029412	0.370588235	0.171323529	0.288235294	0.380147059	0.147058824	0.075735294	0.511764706	0.152941176	0.3375	0.019852941	0.024264706	0.652941176	0.098529412	0.068382353	0.558088235	0.123529412	0.097794118	0.179411765	0.283088235	0.063970588	0.605882353	0.005882353	0.022794118	0.171323529	0.419852941	0.024264706	0.511764706	0.174264706	0.373529412	0.308088235	0.052205882	0.863970588	0.159558824	0.157352941	0.452941176	0.511764706
MEG3	0.002205882	0.490441176	0.716176471	0.504411765	0.569117647	0.347058824	0.463235294	0.504411765	0.339705882	0.361764706	0.339705882	0.347058824	0.504411765	0.118382353	0.716911765	0.294852941	0.141176471	0.504411765	0.113235294	0.534558824	0.545588235	0.504411765	0.658823529	0.377941176	0.104411765	0.504411765	0.207352941	0.241176471	0.192647059	0.096323529	0.079411765	0.351470588	0.004411765	0.411029412	0.410294118	0.530147059	0.294117647	0.049264706	0.430147059	0.619117647	0.297058824	0.019117647	0.277941176	0.023529412	0.157352941	0.272058824	0.163235294	0.116176471	0.281617647	0.4375	0.274264706	0.504411765	0.106617647	0.575735294	0.645588235	0.456617647	0.483823529	0.128676471	0.684558824	0.119117647	0.388970588	0.436029412	0.058823529	0.241911765	1	0.708823529	0.206617647	0.228676471	0.684558824	0.016176471	0.032352941	0.539705882	0.563970588	0.545588235	0.504411765	0.488235294	0.166911765	0.549264706	0.235294118	0.398529412	0.349264706	0.175735294	0.293382353	0.592647059	0.222058824	0.504411765	0.311764706	0.231617647	0.286029412	0.163970588	0.125	0.438970588	0.344852941	0.030882353	0.236029412	0.202205882	0.006617647	0.054411765	0.134558824	0.022058824	0.667647059	0.075	0.211764706	0.038970588	0.665441176	0.504411765	0.472794118	0.274264706	0.619852941	0.325735294	0.179411765	0.544117647	0.440441176	0.280882353	0.504411765
MESTIT1	0.080147059	0.485294118	0.551470588	0.595588235	0.636764706	0.407352941	0.395588235	0.595588235	0.595588235	0.341911765	0.604411765	0.535294118	0.595588235	0.356617647	0.775735294	0.602205882	0.405147059	0.595588235	0.083823529	0.605147059	0.660294118	0.595588235	0.717647059	0.495588235	0.174264706	0.595588235	0.251470588	0.516911765	0.291176471	0.067647059	0.483088235	0.710294118	0.140441176	0.496323529	0.642647059	0.524264706	0.542647059	0.577205882	0.45	0.676470588	0.622058824	0.25	0.388235294	0.250735294	0.048529412	0.342647059	0.174264706	0.382352941	0.559558824	0.453676471	0.228676471	0.595588235	0.151470588	0.465441176	0.816176471	0.663235294	0.488235294	0.286764706	0.593382353	0.125	0.752205882	0.8125	0.451470588	0.020588235	0.708823529	1	0.401470588	0.148529412	0.731617647	0.340441176	0.320588235	0.639705882	0.493382353	0.660294118	0.700735294	0.482352941	0.436029412	0.511029412	0.322794118	0.595588235	0.425735294	0.569852941	0.355882353	0.375	0.023529412	0.595588235	0.438235294	0.368382353	0.403676471	0.596323529	0.298529412	0.510294118	0.689705882	0.233823529	0.505147059	0.581617647	0.002941176	0.281617647	0.491176471	0.176470588	0.757352941	0.471323529	0.230147059	0.389705882	0.646323529	0.595588235	0.644852941	0.466176471	0.713970588	0.3375	0.150735294	0.384558824	0.599264706	0.314705882	0.595588235
MIAT	0.083823529	0.227205882	0.667647059	0.542647059	0.630882353	0.004411765	0.079411765	0.542647059	0.472058824	0.138235294	0.311764706	0.191176471	0.542647059	0.097794118	0.274264706	0.383823529	0.083088235	0.542647059	0.491911765	0.516176471	0.395588235	0.542647059	0.149264706	0.123529412	0.066176471	0.542647059	0.527941176	0.376470588	0.345588235	0.173529412	0.449264706	0.579411765	0.185294118	0.263235294	0.472058824	0.479411765	0.330882353	0.072058824	0.465441176	0.388970588	0.183823529	0.508823529	0.575735294	0.292647059	0.360294118	0.273529412	0.013970588	0.205147059	0.144852941	0.259558824	0.341176471	0.542647059	0.4375	0.024264706	0.398529412	0.394852941	0.291176471	0.484558824	0.153676471	0.160294118	0.286029412	0.530147059	0.2	0.35	0.206617647	0.401470588	1	0.156617647	0.411029412	0.736764706	0.133088235	0.242647059	0.647058824	0.395588235	0.277205882	0.216176471	0.347058824	0.314705882	0.598529412	0.260294118	0.083088235	0.398529412	0.318382353	0.079411765	0.042647059	0.542647059	0.05	0.072794118	0.180882353	0.209558824	0.580147059	0.218382353	0.560294118	0.389705882	0.226470588	0.459558824	0.186029412	0.691176471	0.552941176	0.502941176	0.414705882	0.349264706	0.327205882	0.517647059	0.361029412	0.542647059	0.761029412	0.466176471	0.480147059	0.302205882	0.571323529	0.007352941	0.338235294	0.647058824	0.542647059
MINA	0.188970588	0.252941176	0.199264706	0.528676471	0.311029412	0.603676471	0.128676471	0.528676471	0.469852941	0.198529412	0.024264706	0.067647059	0.528676471	0.388235294	0.0125	0.297794118	0.027941176	0.528676471	0.275	0.197058824	0.440441176	0.528676471	0.1875	0.032352941	0.138235294	0.528676471	0.152941176	0.051470588	0.275	0.052941176	0.240441176	0.291911765	0.264705882	0.305147059	0.222794118	0.310294118	0.053676471	0.089705882	0.330882353	0.067647059	0.5125	0.553676471	0.083823529	0.236029412	0.005882353	0.1625	0.089705882	0.035294118	0.384558824	0.286029412	0.017647059	0.528676471	0.438970588	0.191911765	0.150735294	0.234558824	0.178676471	0.064705882	0.321323529	0.024264706	0.325735294	0.390441176	0.078676471	0.580147059	0.228676471	0.148529412	0.156617647	1	0.025735294	0.275735294	0.257352941	0.205147059	0.244117647	0.440441176	0.013235294	0.150735294	0.335294118	0.146323529	0.423529412	0.363970588	0.049264706	0.373529412	0.4625	0.027205882	0.578676471	0.528676471	0.265441176	0.048529412	0.177941176	0.224264706	0.613970588	0.391911765	0.218382353	0.721323529	0.023529412	0.325735294	0.471323529	0.394852941	0.327205882	0.671323529	0.004411765	0.303676471	0.334558824	0.458088235	0.215441176	0.528676471	0.361764706	0.586764706	0.241911765	0.081617647	0.642647059	0.079411765	0.395588235	0.2625	0.528676471
MIR100HG	0.106617647	0.776470588	0.5625	0.527205882	0.533088235	0.161029412	0.331617647	0.527205882	0.3625	0.445588235	0.593382353	0.260294118	0.527205882	0.069852941	0.747058824	0.541911765	0.074264706	0.527205882	0.011029412	0.735294118	0.450735294	0.527205882	0.6875	0.254411765	0.058823529	0.527205882	0.141176471	0.105882353	0.225735294	0.182352941	0.363235294	0.450735294	0.236029412	0.622058824	0.515441176	0.65	0.325735294	0.113235294	0.597058824	0.356617647	0.283088235	0.061029412	0.325	0.122794118	0.001470588	0.263235294	0.208088235	0.398529412	0.141176471	0.55	0.225735294	0.527205882	0.115441176	0.333088235	0.494852941	0.436764706	0.541911765	0.268382353	0.538235294	0.466911765	0.527205882	0.599264706	0.327205882	0.021323529	0.684558824	0.731617647	0.411029412	0.025735294	1	0.247058824	0.079411765	0.573529412	0.686764706	0.450735294	0.432352941	0.418382353	0.530882353	0.394852941	0.374264706	0.338970588	0.426470588	0.471323529	0.396323529	0.397794118	0.2125	0.527205882	0.305147059	0.336764706	0.464705882	0.2875	0.383088235	0.526470588	0.317647059	0.078676471	0.291176471	0.416911765	0.179411765	0.497794118	0.486029412	0.263970588	0.638970588	0.319852941	0.033823529	0.108823529	0.3625	0.527205882	0.604411765	0.302205882	0.4625	0.407352941	0.029411765	0.333088235	0.415441176	0.447794118	0.527205882
MIR155HG	0.247058824	0.319117647	0.396323529	0.511029412	0.375735294	0.094852941	0.078676471	0.511029412	0.522794118	0.144852941	0.174264706	0.1125	0.511029412	0.415441176	0.258088235	0.258823529	0.058823529	0.511029412	0.394117647	0.339705882	0.446323529	0.511029412	0.035294118	0.2375	0.145588235	0.511029412	0.372058824	0.227941176	0.351470588	0.494117647	0.483823529	0.3125	0.032352941	0.415441176	0.158088235	0.399264706	0.144852941	0.227205882	0.489705882	0.321323529	0.255147059	0.374264706	0.217647059	0.025735294	0.615441176	0.490441176	0.328676471	0.281617647	0.343382353	0.163970588	0.316911765	0.511029412	0.516176471	0.052205882	0.208088235	0.35	0.0125	0.630147059	0.106617647	0.033088235	0.317647059	0.5375	0.202205882	0.457352941	0.016176471	0.340441176	0.736764706	0.275735294	0.247058824	1	0.186029412	0.054411765	0.355882353	0.446323529	0.172794118	0.294852941	0.395588235	0.108088235	0.349264706	0.475735294	0.071323529	0.686029412	0.335294118	0.193382353	0.230882353	0.511029412	0.415441176	0.238970588	0.413970588	0.344852941	0.548529412	0.157352941	0.544852941	0.475735294	0.269117647	0.379411765	0.144117647	0.713970588	0.498529412	0.531617647	0.274264706	0.522058824	0.435294118	0.597794118	0.179411765	0.511029412	0.581617647	0.630147059	0.326470588	0.173529412	0.756617647	0.314705882	0.358823529	0.602205882	0.511029412
MIR17HG	0.433823529	0.002941176	0.125735294	0.519852941	0.396323529	0.068382353	0.222794118	0.519852941	0.519852941	0.340441176	0.399264706	0.025	0.519852941	0.402941176	0.217647059	0.4	0.751470588	0.519852941	0.469117647	0.219117647	0.455147059	0.519852941	0.072794118	0.276470588	0.041911765	0.519852941	0.218382353	0.622794118	0.449264706	0.217647059	0.052205882	0.219852941	0.158823529	0.394852941	0.355147059	0.005147059	0.743382353	0.606617647	0.011029412	0.500735294	0.3875	0.069852941	0.303676471	0.158088235	0.103676471	0.125735294	0.060294118	0.551470588	0.351470588	0.095588235	0.002205882	0.519852941	0.261029412	0.509558824	0.394852941	0.676470588	0.216911765	0.080147059	0.306617647	0.002205882	0.418382353	0.523529412	0.4375	0.311764706	0.032352941	0.320588235	0.133088235	0.257352941	0.079411765	0.186029412	1	0.338970588	0.314705882	0.455147059	0.676470588	0.0875	0.430147059	0.005147059	0.402205882	0.472794118	0.066176471	0.488235294	0.465441176	0.241911765	0.6125	0.519852941	0.136029412	0.243382353	0.382352941	0.293382353	0.076470588	0.317647059	0.582352941	0.25	0.442647059	0.326470588	0.031617647	0.258823529	0.555882353	0.071323529	0.211764706	0.436029412	0.634558824	0.507352941	0.396323529	0.519852941	0.2375	0.283823529	0.346323529	0.156617647	0.032352941	0.105147059	0.385294118	0.099264706	0.519852941
MIR31HG	0.097794118	0.402941176	0.501470588	0.589705882	0.677941176	0.563235294	0.326470588	0.589705882	0.389705882	0.309558824	0.811764706	0.281617647	0.589705882	0.366176471	0.794117647	0.730147059	0.270588235	0.589705882	0.111029412	0.272058824	0.548529412	0.589705882	0.557352941	0.257352941	0.191911765	0.589705882	0.332352941	0.451470588	0.259558824	0.039705882	0.230147059	0.558823529	0.027205882	0.516911765	0.601470588	0.255882353	0.444852941	0.358823529	0.197794118	0.597794118	0.433823529	0.192647059	0.355882353	0.096323529	0.230882353	0.451470588	0.049264706	0.316176471	0.322058824	0.509558824	0.038235294	0.589705882	0.034558824	0.486764706	0.644117647	0.666911765	0.511764706	0.186764706	0.25	0.192647059	0.817647059	0.529411765	0.430882353	0.072058824	0.539705882	0.639705882	0.242647059	0.205147059	0.573529412	0.054411765	0.338970588	1	0.620588235	0.548529412	0.607352941	0.585294118	0.597058824	0.365441176	0.591176471	0.601470588	0.684558824	0.466176471	0.616911765	0.601470588	0.124264706	0.589705882	0.505882353	0.244117647	0.502205882	0.097794118	0.175	0.884558824	0.593382353	0.116911765	0.015441176	0.628676471	0.125	0.288970588	0.597794118	0.110294118	0.497058824	0.129411765	0.147794118	0.475	0.554411765	0.589705882	0.475	0.416911765	0.639705882	0.516176471	0.103676471	0.320588235	0.554411765	0.048529412	0.589705882
MKRN3-AS1	0.247058824	0.454411765	0.683088235	0.711029412	0.799264706	0.311029412	0.326470588	0.711029412	0.452205882	0.390441176	0.547794118	0.038970588	0.711029412	0.151470588	0.652941176	0.465441176	0.191176471	0.711029412	0.338235294	0.5125	0.575735294	0.711029412	0.348529412	0.232352941	0.131617647	0.711029412	0.369117647	0.381617647	0.451470588	0.058088235	0.191911765	0.436029412	0.145588235	0.357352941	0.463970588	0.425735294	0.443382353	0.160294118	0.336029412	0.430882353	0.278676471	0.0875	0.440441176	0.132352941	0.042647059	0.541176471	0.131617647	0.311764706	0.023529412	0.451470588	0.246323529	0.711029412	0.269117647	0.351470588	0.588970588	0.511764706	0.608088235	0.155882353	0.333823529	0.446323529	0.441911765	0.455882353	0.466911765	0.1375	0.563970588	0.493382353	0.647058824	0.244117647	0.686764706	0.355882353	0.314705882	0.620588235	1	0.575735294	0.472058824	0.590441176	0.451470588	0.397794118	0.828676471	0.452205882	0.3875	0.311764706	0.423529412	0.511029412	0.239705882	0.711029412	0.334558824	0.197058824	0.449264706	0.196323529	0.358088235	0.620588235	0.458823529	0.190441176	0.288235294	0.328676471	0.332352941	0.519852941	0.516911765	0.366911765	0.544852941	0.269852941	0.239705882	0.288970588	0.646323529	0.711029412	0.658823529	0.343382353	0.661029412	0.411029412	0.289705882	0.195588235	0.572058824	0.402205882	0.711029412
MNX1-AS1	0.380882353	0.463970588	0.597058824	0.911764706	0.811764706	0.552941176	0.628676471	0.911764706	0.911764706	0.276470588	0.435294118	0.605882353	0.911764706	0.655882353	0.6	0.402941176	0.491911765	0.911764706	0.644852941	0.494852941	1	0.911764706	0.410294118	0.597058824	0.366911765	0.911764706	0.406617647	0.582352941	0.722794118	0.600735294	0.586764706	0.597058824	0.496323529	0.464705882	0.582352941	0.477941176	0.427205882	0.559558824	0.448529412	0.531617647	0.729411765	0.494117647	0.531617647	0.622058824	0.351470588	0.583088235	0.397058824	0.483823529	0.652205882	0.722794118	0.651470588	0.911764706	0.394117647	0.751470588	0.832352941	0.505147059	0.382352941	0.326470588	0.675735294	0.514705882	0.622794118	0.550735294	0.305882353	0.470588235	0.545588235	0.660294118	0.395588235	0.440441176	0.450735294	0.446323529	0.455147059	0.548529412	0.575735294	1	0.622794118	0.664705882	0.296323529	0.409558824	0.577941176	0.911764706	0.4875	0.570588235	0.577941176	0.517647059	0.472794118	0.911764706	0.470588235	0.350735294	0.528676471	0.555147059	0.415441176	0.651470588	0.601470588	0.513235294	0.594852941	0.5	0.357352941	0.298529412	0.300735294	0.423529412	0.630147059	0.422058824	0.583088235	0.561764706	0.799264706	0.911764706	0.458088235	0.542647059	0.922794118	0.575	0.488970588	0.594117647	0.444852941	0.329411765	0.911764706
MYCNOS	0.3625	0.232352941	0.556617647	0.534558824	0.5875	0.308088235	0.216911765	0.534558824	0.6875	0.143382353	0.694852941	0.163235294	0.534558824	0.514705882	0.680882353	0.607352941	0.683823529	0.534558824	0.254411765	0.429411765	0.622794118	0.534558824	0.406617647	0.478676471	0.155147059	0.534558824	0.247058824	0.719117647	0.476470588	0.1875	0.207352941	0.580147059	0.002941176	0.477941176	0.605147059	0.275	0.754411765	0.701470588	0.165441176	0.797058824	0.619852941	0.006617647	0.038970588	0.389705882	0.191176471	0.274264706	0.046323529	0.499264706	0.530147059	0.211764706	0.211029412	0.534558824	0.030147059	0.550735294	0.719852941	0.852941176	0.424264706	0.077205882	0.2625	0.053676471	0.6875	0.711764706	0.511029412	0.178676471	0.504411765	0.700735294	0.277205882	0.013235294	0.432352941	0.172794118	0.676470588	0.607352941	0.472058824	0.622794118	1	0.403676471	0.416911765	0.477205882	0.308088235	0.605147059	0.405882353	0.589705882	0.495588235	0.431617647	0.291176471	0.534558824	0.213970588	0.239705882	0.5	0.243382353	0.090441176	0.513235294	0.827205882	0.082352941	0.549264706	0.522794118	0.147058824	0.143382353	0.527941176	0.1625	0.658088235	0.402205882	0.480882353	0.502205882	0.666911765	0.534558824	0.476470588	0.308088235	0.688970588	0.389705882	0.038235294	0.299264706	0.280882353	0.069852941	0.534558824
NAMA	0.064705882	0.472794118	0.479411765	0.588235294	0.547058824	0.255882353	0.683088235	0.588235294	0.470588235	0.088235294	0.470588235	0.410294118	0.588235294	0.635294118	0.717647059	0.482352941	0.031617647	0.588235294	0.003676471	0.211029412	0.664705882	0.588235294	0.169117647	0.602941176	0.363970588	0.588235294	0.183088235	0.3	0.3625	0.2375	0.247058824	0.376470588	0.253676471	0.332352941	0.164705882	0.295588235	0.093382353	0.274264706	0.175	0.438970588	0.438235294	0.297058824	0.318382353	0.114705882	0.077941176	0.824264706	0.266176471	0.004411765	0.378676471	0.3625	0.280882353	0.588235294	0.063235294	0.325	0.470588235	0.478676471	0.070588235	0.039705882	0.433088235	0.211764706	0.568382353	0.400735294	0.252941176	0.029411765	0.488235294	0.482352941	0.216176471	0.150735294	0.418382353	0.294852941	0.0875	0.585294118	0.590441176	0.664705882	0.403676471	1	0.425735294	0.375735294	0.475	0.635294118	0.458088235	0.492647059	0.335294118	0.344117647	0.284558824	0.588235294	0.05	0.084558824	0.596323529	0.153676471	0.146323529	0.764705882	0.486764706	0.098529412	0.284558824	0.492647059	0.132352941	0.323529412	0.186029412	0.267647059	0.461029412	0.389705882	0.200735294	0.216176471	0.627205882	0.588235294	0.566911765	0.545588235	0.641911765	0.547058824	0.177205882	0.438235294	0.502205882	0.097058824	0.588235294
NEAT1	0.308088235	0.55	0.347794118	0.502205882	0.402205882	0.156617647	0.176470588	0.502205882	0.3375	0.272058824	0.734558824	0.259558824	0.502205882	0.497058824	0.452205882	0.830147059	0.35	0.502205882	0.116176471	0.405147059	0.296323529	0.502205882	0.333823529	0.316176471	0.402205882	0.502205882	0.161029412	0.291911765	0.372058824	0.108088235	0.152941176	0.472794118	0.101470588	0.758823529	0.502205882	0.363970588	0.421323529	0.389705882	0.361764706	0.472058824	0.3875	0.109558824	0.095588235	0.255147059	0.111764706	0.422058824	0.375	0.297794118	0.397058824	0.351470588	0.139705882	0.502205882	0.311764706	0.174264706	0.190441176	0.651470588	0.330147059	0.255147059	0.053676471	0.218382353	0.580147059	0.741911765	0.563970588	0.020588235	0.166911765	0.436029412	0.347058824	0.335294118	0.530882353	0.395588235	0.430147059	0.597058824	0.451470588	0.296323529	0.416911765	0.425735294	1	0.380882353	0.325735294	0.372794118	0.380147059	0.756617647	0.686029412	0.324264706	0.315441176	0.502205882	0.063970588	0.321323529	0.575735294	0.024264706	0.392647059	0.576470588	0.524264706	0.147058824	0.186764706	0.738970588	0.066176471	0.802941176	0.751470588	0.250735294	0.249264706	0.661764706	0.253676471	0.356617647	0.102205882	0.502205882	0.621323529	0.496323529	0.200735294	0.469117647	0.223529412	0.263970588	0.489705882	0.268382353	0.502205882
NPTN-IT1	0.281617647	0.235294118	0.602205882	0.509558824	0.586029412	0.268382353	0.6375	0.509558824	0.427205882	0.727941176	0.533088235	0.205882353	0.509558824	0.300735294	0.369117647	0.600735294	0.084558824	0.509558824	0.028676471	0.438970588	0.409558824	0.509558824	0.373529412	0.455147059	0.049264706	0.509558824	0.046323529	0.130147059	0.607352941	0.016911765	0.086764706	0.631617647	0.222794118	0.2875	0.674264706	0.335294118	0.244852941	0.388235294	0.231617647	0.616911765	0.505147059	0.072794118	0.099264706	0.238970588	0.026470588	0.290441176	0.374264706	0.245588235	0.333088235	0.333823529	0.165441176	0.509558824	0.261029412	0.136029412	0.533088235	0.522794118	0.341911765	0.254411765	0.558823529	0.150735294	0.272794118	0.592647059	0.413970588	0.058088235	0.549264706	0.511029412	0.314705882	0.146323529	0.394852941	0.108088235	0.005147059	0.365441176	0.397794118	0.409558824	0.477205882	0.375735294	0.380882353	1	0.161029412	0.2625	0.325	0.278676471	0.367647059	0.722794118	0.174264706	0.509558824	0.303676471	0.436764706	0.198529412	0.072794118	0.204411765	0.206617647	0.472058824	0.113235294	0.288235294	0.315441176	0.013235294	0.193382353	0.321323529	0.033088235	0.516911765	0.447058824	0.236764706	0.140441176	0.361029412	0.509558824	0.524264706	0.211764706	0.486029412	0.047794118	0.032352941	0.310294118	0.185294118	0.211029412	0.509558824
NRON	0.000735294	0.227941176	0.45	0.713235294	0.754411765	0.332352941	0.206617647	0.713235294	0.454411765	0.044117647	0.439705882	0.109558824	0.713235294	0.182352941	0.419117647	0.442647059	0.061029412	0.713235294	0.538970588	0.325	0.577941176	0.713235294	0.130882353	0.040441176	0.153676471	0.713235294	0.494117647	0.334558824	0.453676471	0.109558824	0.393382353	0.425	0.115441176	0.182352941	0.419117647	0.233823529	0.327941176	0.160294118	0.213970588	0.280882353	0.270588235	0.119117647	0.583823529	0.329411765	0.003676471	0.466176471	0.000735294	0.226470588	0.011029412	0.453676471	0.052941176	0.713235294	0.465441176	0.328676471	0.538235294	0.423529412	0.360294118	0.142647059	0.078676471	0.363235294	0.448529412	0.303676471	0.327941176	0.186029412	0.235294118	0.322794118	0.598529412	0.423529412	0.374264706	0.349264706	0.402205882	0.591176471	0.828676471	0.577941176	0.308088235	0.475	0.325735294	0.161029412	1	0.454411765	0.348529412	0.250735294	0.403676471	0.451470588	0.463235294	0.713235294	0.370588235	0.194852941	0.344852941	0.335294118	0.422058824	0.644117647	0.427205882	0.455882353	0.105882353	0.335294118	0.194852941	0.450735294	0.538235294	0.544117647	0.361029412	0.179411765	0.385294118	0.536029412	0.577941176	0.713235294	0.533088235	0.461764706	0.619117647	0.284558824	0.420588235	0.047794118	0.569117647	0.336764706	0.713235294
PANDAR	0.398529412	0.3875	0.438235294	0.835294118	0.723529412	0.464705882	0.458088235	0.835294118	0.811764706	0.176470588	0.488235294	0.623529412	0.835294118	0.720588235	0.641176471	0.385294118	0.544852941	0.835294118	0.533088235	0.265441176	0.911764706	0.835294118	0.392647059	0.602941176	0.443382353	0.835294118	0.365441176	0.6	0.622794118	0.641911765	0.404411765	0.438235294	0.3375	0.517647059	0.458823529	0.283823529	0.444852941	0.636029412	0.289705882	0.561029412	0.664705882	0.358823529	0.290441176	0.404411765	0.333823529	0.647794118	0.391176471	0.583823529	0.646323529	0.622794118	0.504411765	0.835294118	0.223529412	0.616176471	0.720588235	0.534558824	0.352941176	0.202941176	0.505147059	0.379411765	0.6875	0.509558824	0.405882353	0.370588235	0.398529412	0.595588235	0.260294118	0.363970588	0.338970588	0.475735294	0.472794118	0.601470588	0.452205882	0.911764706	0.605147059	0.635294118	0.372794118	0.2625	0.454411765	1	0.528676471	0.647058824	0.630882353	0.382352941	0.408088235	0.835294118	0.264705882	0.168382353	0.628676471	0.431617647	0.209558824	0.657352941	0.630882353	0.354411765	0.388970588	0.494117647	0.127941176	0.269117647	0.365441176	0.217647059	0.530147059	0.333823529	0.518382353	0.591176471	0.675735294	0.835294118	0.311029412	0.477941176	0.822794118	0.522058824	0.459558824	0.647058824	0.450735294	0.147058824	0.835294118
PCA3	0.016911765	0.476470588	0.368382353	0.552205882	0.616911765	0.213970588	0.186764706	0.552205882	0.434558824	0.261764706	0.593382353	0.092647059	0.552205882	0.464705882	0.586029412	0.634558824	0.192647059	0.552205882	0.1	0.358823529	0.4875	0.552205882	0.691911765	0.035294118	0.255147059	0.552205882	0.432352941	0.239705882	0.433823529	0.065441176	0.113970588	0.384558824	0.322794118	0.436764706	0.505147059	0.306617647	0.377941176	0.341176471	0.155147059	0.493382353	0.563970588	0.094852941	0.336764706	0.204411765	0.172794118	0.238970588	0.161029412	0.375	0.347058824	0.684558824	0.054411765	0.552205882	0.038970588	0.192647059	0.4125	0.521323529	0.497794118	0.127941176	0.225	0.252205882	0.591911765	0.276470588	0.452205882	0.171323529	0.349264706	0.425735294	0.083088235	0.049264706	0.426470588	0.071323529	0.066176471	0.684558824	0.3875	0.4875	0.405882353	0.458088235	0.380147059	0.325	0.348529412	0.528676471	1	0.280882353	0.629411765	0.496323529	0.013235294	0.552205882	0.413970588	0.483088235	0.586764706	0.138970588	0.004411765	0.6625	0.319117647	0.039705882	0.266911765	0.527941176	0.105147059	0.156617647	0.426470588	0.015441176	0.669852941	0.016911765	0.132352941	0.231617647	0.494852941	0.552205882	0.350735294	0.175	0.555147059	0.389705882	0.138970588	0.336764706	0.264705882	0.121323529	0.552205882
